time,pdcsap_flux
1442.664732737437,1569.6096
1442.6661216200232,1556.642
1442.6675105025795,1541.4242
1442.668899385137,1551.0864
1442.670288267724,1552.0912
1442.671677150281,1565.7948
1442.6730660328674,1553.09
1442.6744549154246,1549.0054
1442.6758437979815,1555.5509
1442.6772326805678,1551.313
1442.678621563125,1565.6815
1442.6800104456822,1554.8668
1442.6813993282683,1572.8555
1442.6827882108255,1556.5869
1442.684177093412,1566.6649
1442.6855659759692,1565.1481
1442.6869548585255,1565.5867
1442.6883437411127,1550.9073
1442.6897326236706,1553.863
1442.691121506227,1565.1775
1442.6925103888127,1561.3197
1442.6938992713706,1571.1194
1442.6952881539285,1572.1908
1442.696677036514,1567.0481
1442.6980659190713,1564.0587
1442.6994548016582,1563.4396
1442.7008436842154,1575.8818
1442.702232566772,1567.7365
1442.7036214493585,1566.6561
1442.705010331916,1576.5535
1442.706399214473,1569.3569
1442.707788097059,1567.2771
1442.709176979616,1570.5837083467668
1442.710565862174,1573.8919841355241
1442.7119547447603,1573.647382067994
1442.7133436273175,1557.6233583142334
1442.7147325098747,1569.5476686743255
1442.7161213924603,1578.128968578377
1442.7175102750175,1578.90291308652
1442.7188991575754,1580.8803568889105
1442.7202880401617,1578.1205543057301
1442.7216769227182,1582.2374592871845
1442.7230658052754,1566.3201254135042
1442.7244546878624,1583.7724058949448
1442.7258435704196,1565.6182535717858
1442.727232452976,1575.6031209143325
1442.728621335534,1573.7339600229134
1442.730010218121,1563.3620226278833
1442.7313991006774,1566.9241600896207
1442.732787983234,1577.8941233985292
1442.734176865821,1573.0164631750363
1442.7355657483788,1544.2329296695957
1442.736954630935,1578.384772762684
1442.7383435135207,1580.0797419648043
1442.7397323960786,1572.378186416483
1442.7411212786365,1572.3114548882718
1442.742510161193,1582.431295780747
1442.7438990437793,1570.3877571245098
1442.7452879263365,1570.9665865801855
1442.7466768088937,1579.932531438425
1442.74806569148,1573.0876386199027
1442.7494545740371,1569.172754675319
1442.7508434565943,1569.652325785398
1442.7522323391515,1575.598697760889
1442.7536212217385,1568.9166160425657
1442.7550101042957,1573.4133257012272
1442.7563989868522,1571.263671437696
1442.7577878694383,1580.4972975828205
1442.7591767519964,1570.3312480974732
1442.7605656345536,1578.1084665725514
1442.76195451711,1561.9961962289774
1442.7633433996964,1559.4943799176976
1442.7647322822545,1573.9257601196837
1442.7661211648117,1572.2164789459312
1442.767510047368,1571.0841781374615
1442.768898929955,1569.80889906532
1442.7702878125128,1574.4021827305767
1442.7716766950691,1555.683069764327
1442.773065577626,1567.0300004276896
1442.7744544602122,1586.5181146118098
1442.77584334277,1573.2117518378554
1442.7772322253272,1562.4707512570212
1442.7786211078835,1569.631851650525
1442.78000999047,1562.9682914296097
1442.781398873028,1568.4017086355436
1442.782787755585,1573.7396409396185
1442.7841766381423,1564.3460256431522
1442.7855655207286,1563.7301996774859
1442.7869544032858,1566.0668996039865
1442.788343285843,1569.0854616140452
1442.7897321684002,1556.8082215290779
1442.7911210509865,1569.510414800525
1442.7925099335437,1571.2408765098523
1442.7938988161009,1573.0053413685494
1442.795287698658,1560.0100437181309
1442.7966765812153,1557.3218175301367
1442.7980654638015,1565.8603964061303
1442.7994543463594,1548.315013577701
1442.8008432289166,1564.3516019064618
1442.8022321114731,1567.092393884051
1442.80362099403,1566.7615216321317
1442.805009876617,1559.4202169023913
1442.8063987591745,1562.8371110765424
1442.8077876417308,1543.4464351663212
1442.809176524288,1546.8222198134897
1442.810565406846,1559.8319952898346
1442.8119542894322,1562.4334914971666
1442.813343171989,1558.3704379673213
1442.814732054546,1559.8444638621595
1442.8161209371035,1559.6496979735662
1442.817509819661,1566.9302687234506
1442.8188987022463,1557.007704163748
1442.8202875848035,1579.2270319764175
1442.8216764673616,1561.2097794734425
1442.8230653499188,1556.621273596832
1442.824454232476,1567.4190409186192
1442.8258431150623,1560.8613076408622
1442.8272319976195,1560.8007995956434
1442.828620880177,1568.8449422450701
1442.830009762734,1566.4048606812748
1442.831398645291,1575.5091796264142
1442.8327875278485,1562.2285234326691
1442.8341764104057,1563.2480160822465
1442.8355652929918,1561.6833811873769
1442.836954175549,1558.8942419903155
1442.8383430581057,1578.328221363343
1442.8397319406631,1568.4702418087643
1442.8411208232212,1570.0524254589086
1442.8425097057775,1580.5706940761304
1442.8438985883631,1566.8691690528092
1442.8452874709212,1557.0812714113479
1442.846676353479,1578.7286218041754
1442.8480652360356,1573.970740513745
1442.849454118592,1564.0364474525338
1442.85084300115,1566.0384621630449
1442.852231883708,1560.190603817805
1442.8536207662644,1571.6186912193664
1442.855009648851,1572.8516428003054
1442.8563985314086,1571.5041766232232
1442.8577874139658,1569.0073103807463
1442.8591762965225,1578.6777613955244
1442.8605651790797,1566.9083466202337
1442.861954061637,1575.2942826375738
1442.8633429441943,1569.3058856602695
1442.8647318267515,1577.8416715310705
1442.866120709338,1571.8712557227507
1442.8675095918952,1574.6019533381086
1442.8688984744522,1577.8577791099683
1442.8702873570094,1574.3287474011777
1442.8716762395666,1577.9956722046095
1442.873065122123,1573.4667671431619
1442.8744540046805,1583.8039454697566
1442.8758428872382,1577.880520067341
1442.8772317697951,1575.9285034488862
1442.878620652352,1573.1443077573892
1442.8800095349388,1587.457144765871
1442.8813984174967,1576.5055258773768
1442.8827873000532,1579.593862124978
1442.8841761826095,1592.0314641717687
1442.8855650651676,1578.5233423108696
1442.8869539477255,1577.5477064654247
1442.888342830282,1585.6023661886031
1442.8897317128385,1593.0189306635996
1442.8911205953964,1601.1664087036322
1442.8925094779545,1579.744508751944
1442.8938983605108,1589.9582388818037
1442.895287243068,1587.2990067965036
1442.8966761256258,1595.4140198293608
1442.898065008183,1575.011984943718
1442.8994538907396,1592.7544087329418
1442.9008427732967,1599.0554974204233
1442.9022316558835,1587.1095568595795
1442.903620538441,1584.4838925338502
1442.9050094209974,1596.523909556702
1442.9063983035546,1588.8819126716246
1442.9077871861118,1594.9900062521328
1442.909176068669,1588.7641943017668
1442.910564951227,1587.3238804540906
1442.911953833784,1601.6475679726934
1442.9133427163406,1588.249859751189
1442.9147315988978,1586.0054583132153
1442.9161204814557,1593.386365812436
1442.9175093640129,1596.001584032539
1442.9188982465694,1601.1384143872365
1442.9202871291266,1598.9708579202654
1442.9216760116844,1595.5065153053883
1442.9230648942416,1593.8906868463914
1442.924453776798,1595.6778724770863
1442.925842659356,1599.6049717613087
1442.927231541914,1591.6924838929192
1442.9286204244704,1599.1330076958036
1442.930009307027,1601.1344416238715
1442.9313981895848,1591.830883761058
1442.932787072143,1597.0839318213223
1442.9341759546992,1595.499383148649
1442.9355648372562,1591.8674347170465
1442.9369537198131,1600.5037831305488
1442.9383426023703,1588.6049246232135
1442.9397314849275,1595.0666550591238
1442.941120367485,1578.292869932388
1442.942509250042,1588.0444643671374
1442.943898132599,1588.4385331175295
1442.9452870151565,1595.312170567746
1442.9466758977137,1585.7694707319936
1442.948064780271,1591.2083272545028
1442.949453662828,1588.24573340953
1442.950842545386,1594.2830821013551
1442.9522314279432,1590.6443658642838
1442.9536203104997,1599.3883768626456
1442.9550091930278,1592.0228068907954
1442.9563980755856,1597.2806473731125
1442.9577869581428,1595.3761893640005
1442.9591758406991,1577.4146235478881
1442.9605647232563,1594.979340239229
1442.9619536058144,1589.482429382501
1442.9633424883716,1585.629480552207
1442.964731370928,1586.2956829528746
1442.966120253486,1594.5200254190554
1442.967509136044,1589.0414964153265
1442.9688980186004,1610.0314840362896
1442.970286901157,1599.4063760065706
1442.971675783714,1596.6030596808205
1442.973064666272,1609.9643220437154
1442.9744535488,1598.6897497099546
1442.9758424313566,1610.3502289242642
1442.9772313139138,1603.071645561393
1442.9786201964716,1603.483085126116
1442.9800090790288,1599.0668327532321
1442.981397961586,1601.0304732075651
1442.9827868441432,1594.8548908839632
1442.9841757267004,1602.3603698072998
1442.9855646092576,1603.1235936324726
1442.9869534918148,1604.7375456444045
1442.988342374372,1611.4082087580425
1442.9897312569,1610.8136655183587
1442.991120139458,1620.8297981003493
1442.9925090220152,1611.651888309036
1442.9938979045717,1614.4566175794648
1442.9952867871289,1597.5422669767065
1442.9966756696867,1614.8937171958562
1442.998064552244,1607.4933485620345
1442.999453434771,1609.6180410303857
1443.0008423173283,1608.7122741860796
1443.0022311998862,1623.9248272443103
1443.0036200824434,1611.9803790502967
1443.005008965,1614.1355080792825
1443.006397847557,1615.116192436536
1443.007786730115,1617.8632098573498
1443.009175612643,1610.448937707042
1443.0105644951996,1617.8506529809545
1443.0119533777568,1620.8318323044548
1443.0133422603146,1618.7075519329346
1443.0147311428718,1621.95548775181
1443.0161200254283,1620.8671152765228
1443.0175089079564,1629.021709652538
1443.0188977905143,1627.2292456553469
1443.0202866730715,1628.957997690464
1443.0216755556287,1630.51733979343
1443.023064438186,1631.7988456298087
1443.024453320743,1629.18158849519
1443.0258422032712,1638.2089413151878
1443.0272310858284,1635.0737766454406
1443.0286199683856,1635.758766671612
1443.0300088509427,1628.06838320939
1443.0313977335,1641.8102977044873
1443.032786616028,1632.8239812326417
1443.0341754985852,1650.272004499615
1443.0355643811424,1637.8762378411943
1443.0369532637003,1644.0329512231908
1443.0383421462575,1647.723514241441
1443.039731028785,1628.9271961218062
1443.0411199113414,1632.7577657201714
1443.0425087938993,1636.0560915224476
1443.0438976764572,1630.7413416445693
1443.0452865589846,1642.2617838324963
1443.0466754415418,1642.0073854622133
1443.0480643240996,1644.7214135397292
1443.0494532066568,1637.1428347010778
1443.0508420892131,1643.2145152123178
1443.0522309717414,1655.6387209695322
1443.0536198542993,1657.883517498829
1443.0550087368565,1635.756669956341
1443.056397619413,1645.1596431282248
1443.057786501941,1653.3646014306632
1443.059175384499,1642.7366089098623
1443.0605642670562,1654.5182292420538
1443.0619531496134,1640.5892257334935
1443.0633420321417,1654.3726613204624
1443.0647309146989,1643.814098569266
1443.066119797256,1661.6794996762342
1443.0675086797835,1655.9513264677219
1443.068897562341,1643.8630404001085
1443.070286444898,1653.6021025597988
1443.0716753274553,1661.0749736632213
1443.0730642099834,1663.3009140568295
1443.0744530925406,1651.7799837171017
1443.075841975097,1654.9815422505412
1443.077230857626,1647.3271488936757
1443.0786197401835,1651.6001625130577
1443.0800086227405,1659.1954416052638
1443.0813975052968,1658.4768442968962
1443.0827863878255,1665.524328344581
1443.0841752703834,1668.6940511349699
1443.08556415294,1656.9333696847386
1443.086953035467,1679.0435406405875
1443.0883419180252,1669.9875202792416
1443.089730800583,1665.4473645074515
1443.0911196831105,1662.1328288619916
1443.0925085656677,1673.7470685096612
1443.0938974482256,1673.2927382472842
1443.0952863307537,1667.1275925017094
1443.0966752133102,1675.8817853298106
1443.0980640958674,1666.2373704184854
1443.099452978396,1669.584601084657
1443.100841860953,1661.3935302752725
1443.1022307435103,1670.2404105673047
1443.1036196260386,1677.4223941677499
1443.1050085085958,1668.03513291363
1443.106397391153,1664.9546782719913
1443.107786273681,1680.961181339905
1443.1091751562385,1685.262592844466
1443.1105640387657,1667.9174631427957
1443.1119529213229,1676.6202422220385
1443.1133418038808,1666.2225796993644
1443.1147306864088,1675.6017248219675
1443.1161195689654,1684.2772264670675
1443.1175084515232,1672.072233141908
1443.118897334052,1680.1097929837574
1443.1202862166083,1666.6489537599093
1443.121675099136,1675.7216628676813
1443.1230639816938,1684.2591673344161
1443.1244528642517,1679.3000138174812
1443.125841746779,1683.8481486042683
1443.1272306293354,1677.9366176121946
1443.128619511864,1669.122866388701
1443.1300083944222,1684.6342401112536
1443.1313972769783,1672.4477835873438
1443.1327861595066,1675.6487412544864
1443.1341750420645,1685.303057180222
1443.1355639245926,1799.8276535237337
1443.136952807149,1690.0705474618296
1443.1383416896772,1675.397026456917
1443.139730572235,1676.3550036046959
1443.1411194547925,1671.3627671242411
1443.1425083373197,1670.9356052955695
1443.1438972198769,1672.7224064593247
1443.145286102405,1670.865459016462
1443.146674984962,1680.1014514279357
1443.148063867491,1677.4125722143908
1443.149452750048,1676.2852099558495
1443.1508416325755,1669.0188532914078
1443.1522305151327,1658.6095909189266
1443.1536193976615,1684.5416115947282
1443.155008280219,1686.7886041332936
1443.1563971627752,1682.1181574069606
1443.157786045304,1673.3963603456245
1443.1591749278618,1681.4492019364404
1443.1605638103892,1671.2243712235247
1443.1619526929458,1676.329957307662
1443.1633415754743,1671.8689493460106
1443.1647304580324,1684.5961365518099
1443.1661193405598,1677.396508194091
1443.1675082231163,1670.3853535973872
1443.168897105645,1669.0999621414458
1443.170285988203,1672.4141232609427
1443.1716748707304,1668.422626445198
1443.1730637532876,1671.4498612378918
1443.1744526358164,1670.3878172367843
1443.1758415183735,1676.3476840934338
1443.177230400901,1676.8123515129191
1443.178619283458,1675.186709253562
1443.180008165987,1668.340647126651
1443.181397048515,1679.178654996168
1443.1827859310715,1667.7263227785133
1443.1841748135996,1662.0011404422362
1443.1855636961568,1671.8402980077637
1443.186952578685,1671.8825855471318
1443.1883414612428,1690.746293183718
1443.1897303437709,1673.914211091976
1443.1911192263274,1663.5971294971703
1443.1925081088557,1669.8760386751128
1443.193896991413,1671.8490289519027
1443.1952858739414,1670.3932907036628
1443.1966747564688,1662.6439143562839
1443.1980636390258,1672.5756903851643
1443.1994525215546,1664.2457093149537
1443.2008414041118,1683.7505617193005
1443.2022302866392,1682.1553382205939
1443.203619169168,1662.9562294897146
1443.2050080517258,1666.0739262457823
1443.2063969342532,1662.637819255906
1443.2077858168095,1673.0785993349355
1443.2091746993383,1657.776157345213
1443.2105635818964,1661.7020841963295
1443.2119524644238,1662.9264708448766
1443.213341346952,1677.7493082942067
